32:1293988, ack 721, win 501, length 156
02:45:23.954277 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542292:1542448, ack 865, win 501, length 156
02:45:23.954321 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542448:1542604, ack 865, win 501, length 156
02:45:23.954365 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542604:1542760, ack 865, win 501, length 156
02:45:23.954408 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542760:1542916, ack 865, win 501, length 156
02:45:23.954452 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1542916:1543072, ack 865, win 501, length 156
02:45:23.954497 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543072:1543228, ack 865, win 501, length 156
02:45:23.954541 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543228:1543384, ack 865, win 501, length 156
02:45:23.954668 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543384:1543540, ack 865, win 501, length 156
02:45:23.954727 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543540:1543696, ack 865, win 501, length 156
02:45:23.954832 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543696:1543852, ack 865, win 501, length 156
02:45:23.954890 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1543852:1544008, ack 865, win 501, length 156
02:45:23.954940 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544008:1544164, ack 865, win 501, length 156
02:45:23.954987 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544164:1544320, ack 865, win 501, length 156
02:45:23.955032 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544320:1544476, ack 865, win 501, length 156
02:45:23.955085 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544476:1544632, ack 865, win 501, length 156
02:45:23.955393 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544632:1544788, ack 865, win 501, length 156
02:45:23.955545 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544788:1544944, ack 865, win 501, length 156
02:45:23.955786 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1544944:1545100, ack 865, win 501, length 156
02:45:23.955865 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545100:1545256, ack 865, win 501, length 156
02:45:23.955916 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545256:1545412, ack 865, win 501, length 156
02:45:23.955965 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545412:1545568, ack 865, win 501, length 156
02:45:23.956012 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545568:1545724, ack 865, win 501, length 156
02:45:23.956060 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545724:1545880, ack 865, win 501, length 156
02:45:23.956108 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1545880:1546036, ack 865, win 501, length 156
02:45:23.956156 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546036:1546192, ack 865, win 501, length 156
02:45:23.956223 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546192:1546348, ack 865, win 501, length 156
02:45:23.956320 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546348:1546504, ack 865, win 501, length 156
02:45:23.956488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1537352, win 8337, length 0
02:45:23.956525 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546504:1546660, ack 865, win 501, length 156
02:45:23.956609 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546660:1546920, ack 865, win 501, length 260
02:45:23.956687 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1546920:1547076, ack 865, win 501, length 156
02:45:23.956755 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547076:1547232, ack 865, win 501, length 156
02:45:23.956803 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547232:1547388, ack 865, win 501, length 156
02:45:23.957011 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547388:1547544, ack 865, win 501, length 156
02:45:23.957080 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547544:1547700, ack 865, win 501, length 156
02:45:23.957127 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547700:1547856, ack 865, win 501, length 156
02:45:23.957176 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1547856:1548012, ack 865, win 501, length 156
02:45:23.957221 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548012:1548168, ack 865, win 501, length 156
02:45:23.957266 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548168:1548324, ack 865, win 501, length 156
02:45:23.957326 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548324:1548480, ack 865, win 501, length 156
02:45:23.957382 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548480:1548636, ack 865, win 501, length 156
02:45:23.957431 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548636:1548792, ack 865, win 501, length 156
02:45:23.957479 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548792:1548948, ack 865, win 501, length 156
02:45:23.957547 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1548948:1549104, ack 865, win 501, length 156
02:45:23.957871 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549104:1549260, ack 865, win 501, length 156
02:45:23.957949 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549260:1549416, ack 865, win 501, length 156
02:45:23.958001 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549416:1549572, ack 865, win 501, length 156
02:45:23.958047 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549572:1549728, ack 865, win 501, length 156
02:45:23.958092 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549728:1549884, ack 865, win 501, length 156
02:45:23.958136 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1549884:1550040, ack 865, win 501, length 156
02:45:23.958181 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550040:1550196, ack 865, win 501, length 156
02:45:23.958226 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550196:1550352, ack 865, win 501, length 156
02:45:23.958271 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550352:1550508, ack 865, win 501, length 156
02:45:23.958317 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550508:1550664, ack 865, win 501, length 156
02:45:23.958361 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550664:1550820, ack 865, win 501, length 156
02:45:23.958409 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1541668, win 8337, length 0
02:45:23.958472 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550820:1550976, ack 865, win 501, length 156
02:45:23.958603 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1550976:1551236, ack 865, win 501, length 260
02:45:23.958668 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1551236:1551392, ack 865, win 501, length 156
02:45:23.958720 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1551392:1551548, ack 865, win 501, length 156
02:45:23.958766 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1551548:1551704, ack 865, win 501, length 156
02:45:23.958809 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1551704:1551860, ack 865, win 501, length 156
02:45:23.958855 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1551860:1552016, ack 865, win 501, length 156
02:45:23.958898 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552016:1552172, ack 865, win 501, length 156
02:45:23.958942 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552172:1552328, ack 865, win 501, length 156
02:45:23.959003 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552328:1552484, ack 865, win 501, length 156
02:45:23.959478 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1546192, win 8337, length 0
02:45:23.959529 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552484:1552640, ack 865, win 501, length 156
02:45:23.959656 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552640:1552900, ack 865, win 501, length 260
02:45:23.959801 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1552900:1553056, ack 865, win 501, length 156
02:45:23.959851 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553056:1553212, ack 865, win 501, length 156
02:45:23.959898 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553212:1553368, ack 865, win 501, length 156
02:45:23.959942 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553368:1553524, ack 865, win 501, length 156
02:45:23.960027 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553524:1553680, ack 865, win 501, length 156
02:45:23.960074 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553680:1553836, ack 865, win 501, length 156
02:45:23.960121 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553836:1553992, ack 865, win 501, length 156
02:45:23.960310 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1553992:1554148, ack 865, win 501, length 156
02:45:23.960368 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554148:1554304, ack 865, win 501, length 156
02:45:23.960460 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554304:1554460, ack 865, win 501, length 156
02:45:23.960507 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554460:1554616, ack 865, win 501, length 156
02:45:23.960552 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554616:1554772, ack 865, win 501, length 156
02:45:23.960633 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554772:1554928, ack 865, win 501, length 156
02:45:23.960780 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1554928:1555084, ack 865, win 501, length 156
02:45:23.960827 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555084:1555240, ack 865, win 501, length 156
02:45:23.960872 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555240:1555396, ack 865, win 501, length 156
02:45:23.960917 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555396:1555552, ack 865, win 501, length 156
02:45:23.960963 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555552:1555708, ack 865, win 501, length 156
02:45:23.961009 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555708:1555864, ack 865, win 501, length 156
02:45:23.961120 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1555864:1556020, ack 865, win 501, length 156
02:45:23.961169 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556020:1556176, ack 865, win 501, length 156
02:45:23.961215 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556176:1556332, ack 865, win 501, length 156
02:45:23.961258 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556332:1556488, ack 865, win 501, length 156
02:45:23.961303 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556488:1556644, ack 865, win 501, length 156
02:45:23.961347 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556644:1556800, ack 865, win 501, length 156
02:45:23.961467 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556800:1556956, ack 865, win 501, length 156
02:45:23.961488 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1550196, win 8337, length 0
02:45:23.961571 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1556956:1557216, ack 865, win 501, length 260
02:45:23.961739 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557216:1557372, ack 865, win 501, length 156
02:45:23.962075 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557372:1557528, ack 865, win 501, length 156
02:45:23.962139 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557528:1557684, ack 865, win 501, length 156
02:45:23.962187 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557684:1557840, ack 865, win 501, length 156
02:45:23.962230 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557840:1557996, ack 865, win 501, length 156
02:45:23.962384 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1557996:1558152, ack 865, win 501, length 156
02:45:23.962429 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1558152:1558308, ack 865, win 501, length 156
02:45:23.962487 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1558308:1558464, ack 865, win 501, length 156
02:45:23.962512 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1553992, win 8337, length 0
02:45:23.962580 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1558464:1558724, ack 865, win 501, length 260
02:45:23.962624 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1558724:1558880, ack 865, win 501, length 156
02:45:23.962668 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1558880:1559036, ack 865, win 501, length 156
02:45:23.962711 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559036:1559192, ack 865, win 501, length 156
02:45:23.962755 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559192:1559348, ack 865, win 501, length 156
02:45:23.962799 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559348:1559504, ack 865, win 501, length 156
02:45:23.962843 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559504:1559660, ack 865, win 501, length 156
02:45:23.962887 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559660:1559816, ack 865, win 501, length 156
02:45:23.962930 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559816:1559972, ack 865, win 501, length 156
02:45:23.962973 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1559972:1560128, ack 865, win 501, length 156
02:45:23.963015 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560128:1560284, ack 865, win 501, length 156
02:45:23.963058 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560284:1560440, ack 865, win 501, length 156
02:45:23.963354 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560440:1560596, ack 865, win 501, length 156
02:45:23.963424 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560596:1560752, ack 865, win 501, length 156
02:45:23.963481 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560752:1560908, ack 865, win 501, length 156
02:45:23.963526 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1560908:1561064, ack 865, win 501, length 156
02:45:23.963614 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561064:1561220, ack 865, win 501, length 156
02:45:23.963668 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561220:1561376, ack 865, win 501, length 156
02:45:23.963715 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561376:1561532, ack 865, win 501, length 156
02:45:23.963762 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561532:1561688, ack 865, win 501, length 156
02:45:23.963806 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561688:1561844, ack 865, win 501, length 156
02:45:23.963851 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1561844:1562000, ack 865, win 501, length 156
02:45:23.963895 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562000:1562156, ack 865, win 501, length 156
02:45:23.963953 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562156:1562312, ack 865, win 501, length 156
02:45:23.964002 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562312:1562468, ack 865, win 501, length 156
02:45:23.964048 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562468:1562624, ack 865, win 501, length 156
02:45:23.964092 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562624:1562780, ack 865, win 501, length 156
02:45:23.964187 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562780:1562936, ack 865, win 501, length 156
02:45:23.964245 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1562936:1563092, ack 865, win 501, length 156
02:45:23.964297 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563092:1563248, ack 865, win 501, length 156
02:45:23.964450 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1557684, win 8337, length 0
02:45:23.964524 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563248:1563508, ack 865, win 501, length 260
02:45:23.964699 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563508:1563664, ack 865, win 501, length 156
02:45:23.964974 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563664:1563820, ack 865, win 501, length 156
02:45:23.965026 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563820:1563976, ack 865, win 501, length 156
02:45:23.965073 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1563976:1564132, ack 865, win 501, length 156
02:45:23.965119 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564132:1564288, ack 865, win 501, length 156
02:45:23.965162 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564288:1564444, ack 865, win 501, length 156
02:45:23.965429 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564444:1564600, ack 865, win 501, length 156
02:45:23.965596 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564600:1564756, ack 865, win 501, length 156
02:45:23.965724 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564756:1564912, ack 865, win 501, length 156
02:45:23.965776 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1564912:1565068, ack 865, win 501, length 156
02:45:23.965823 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565068:1565224, ack 865, win 501, length 156
02:45:23.965868 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565224:1565380, ack 865, win 501, length 156
02:45:23.965917 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565380:1565536, ack 865, win 501, length 156
02:45:23.966006 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565536:1565692, ack 865, win 501, length 156
02:45:23.966385 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565692:1565848, ack 865, win 501, length 156
02:45:23.966446 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1561532, win 8337, length 0
02:45:23.966446 IP 174.91.170.42.56476 > 137.184.172.1.22: Flags [.], ack 1562624, win 8333, length 0
02:45:23.966856 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1565848:1566212, ack 865, win 501, length 364
02:45:23.966953 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566212:1566368, ack 865, win 501, length 156
02:45:23.967012 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566368:1566524, ack 865, win 501, length 156
02:45:23.967051 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566524:1566680, ack 865, win 501, length 156
02:45:23.967629 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566680:1566836, ack 865, win 501, length 156
02:45:23.967722 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566836:1566992, ack 865, win 501, length 156
02:45:23.967768 IP 137.184.172.1.22 > 174.91.170.42.56476: Flags [P.], seq 1566992:1567148, ack 865, win 501, length 156
